state,action_date,naics_description,transaction_description,total_dollars_obligated,current_total_value_of_award,potential_total_value_of_award,object,program
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,INCREMENTALLY FUNDING FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES.,8075099.12,8075099.12,8075099.12,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,4436205.04,4436205.04,4436205.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2022,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO INCORPORATE THE ATTACHED VIRTUAL ATTORNEY VISITATION (VAV) CAPABILITY,0.0,,2283719987.22,,
,2022,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO INCORPORATE THE ATTACHED VIRTUAL ATTORNEY VISITATION (VAV) CAPABILITY,0.0,,1583837253.55,,
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,INCREASING BED DAY GM AND REMOTE POST FUNDING FOR DETENTION AND TRANSPORTATION SERVICES NORTHWEST DETENTION CENTER TACOMA,21860272.1,21860272.1,21860272.1,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2022,FACILITIES SUPPORT SERVICES,APPROVED REA RATE CHANGE IAW REVISED WAGE DETERMINATION AT NORTHWEST DETENTION CENTER,0.0,,748439695.88,,
,2022,FACILITIES SUPPORT SERVICES,"RATE CHANGED IN IAW WD FOR DETENTION, MANAGEMENT, MEDICAL, TRANSPORTATION SERVICES AT AURORA ICE PROCESSING CENTER, DENVER, CO",0.0,,361177334.17,,
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,"TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES, CA",52913469.21,52913469.21,52913469.21,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,TASK ORDER TO PROVIDE DETENTION SERVICES IN LOS ANGELES AREA OF RESPONSIBILITY,44033953.95,44033953.95,44033953.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER SERVICES,3716630.53,3716630.53,3716630.53,21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,INCREASING BED DAY AND MEAL FUNDING FOR DETENTION AND TRANSPORTATION SERVICES NORTHWEST DETENTION CENTER TACOMA,21860272.1,21860272.1,21860272.1,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,UPDATE STAFFING PLAN FOR NORTHWEST ICE DETENTION CENTER,0.0,,748439695.88,,
,2022,FACILITIES SUPPORT SERVICES,"TO INCORPORATE COLLECTIVE BARGAINING AGREEMENT AND WAGE DETERMINATION FOR DETENTION SERVICES AT AURORA, DENVER, CO",0.0,,469388589.68,,
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,109264890.61,109264890.61,109264890.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,INCREASE AVAILABLE FUNDS ON THE SUBJECT TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITY,52549769.84,52549769.84,52549769.84,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2022,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO INCORPORATE WAGE DETERMINATION.,0.0,,2283719987.22,,
,2022,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO INCORPORATE WAGE DETERMINATION.,0.0,,1583837253.55,,
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,4436205.04,4436205.04,4436205.04,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,109264890.61,109264890.61,109264890.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,DETENTION AND TRANSPORTATION SERVICES NORTHWEST DETENTION CENTER TACOMA,21860272.1,21860272.1,21860272.1,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,"CONTRACT LINE ITEM NUMBERS (CLINS) 5007, SUPPLEMENTARY HEALTHY SNACK OPTIONS TO SUPPORT NORTHWEST ICE DETENTION CENTER",0.0,,748439695.88,,
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,ADMINISTRATION OF HOUSING PROGRAMS,DETAINEE HOUSING COST FOR EMERGENCY SITUATION-INCLEMENT WEATHER,6426.6,6426.6,16066.5,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,INCREASE AVAILABLE FUNDS ON THE SUBJECT TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITY,49750302.84,49750302.84,49750302.84,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2022,CORRECTIONAL INSTITUTIONS,EO14042,0.0,,564052290.6,,
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,109264890.61,109264890.61,109264890.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
FLORIDA,2022,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,LAUNDRY DETERGENT FOR EL PASO,14548.5,14548.5,14548.5,,
GEORGIA,2022,CORRECTIONAL INSTITUTIONS,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,282100.0,282100.0,282100.0,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,CORRECTIONAL INSTITUTIONS,"THIS IS AN AGREEMENT BETWEEN ODT AND ICE TO RIDE CONTRACT ODT-8-C-0005 WITH THE GEO GROUP INC. AT THE ROBERT A. DEYTON DETENTION FACILITY LOCATED IN LOVEJOY, GA",0.0,,0.0,,
MARYLAND,2022,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",THE ICE STUDENT AND EXCHANGE VISITOR PROGRAM (SEVP) REQUIRES CONTRACTOR SUPPORT TO PROVIDE BREAK-FIX AND OPERATIONS & MAINTENANCE (O&M) SUPPORT FOR THE SEVP EXTERNAL TRAINING APPLICATION (SETA),361766.4,361766.4,361766.4,25.1: Advisory and assistance services,0004: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,REA,0.0,,566304901.26,,
CALIFORNIA,2022,FACILITIES SUPPORT SERVICES,DETENTION AND GUARD SERVICES,83.4,83.4,83.4,25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,DETENTION AND TRANSPORTATION SERVICES NORTHWEST DETENTION CENTER TACOMA,21860272.1,21860272.1,21860272.1,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,EO14042,0.0,,566304901.26,,
,2022,FACILITIES SUPPORT SERVICES,EO14042 DETENTION AND TRANSPORTATION SERVICES FOR NORTHWEST DETENTION CENTER,0.0,,748439695.88,,
,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,0.0,,202328478.52,,
COLORADO,2022,FACILITIES SUPPORT SERVICES,"DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,"DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",0.0,,469388589.68,,
,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",0.0,,360393240.61,,
TEXAS,2021,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER AWARD: TBD  POP 06 AUG 2021  - 05 AUG 2022. FUNDING THROUGH 30 SEPTEMBER 2021.  COR RANDY LECOMPTE ACOR: MICHAEL SHERDIAN,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2021,CORRECTIONAL INSTITUTIONS,DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),0.0,,564052290.6,,
FLORIDA,2021,NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,EMERGENCY HAITIAN MIGRANTS FLIGHT SERVICES,4773531.7,4773531.7,4773531.7,21.0: Travel and transportation of persons,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,DETENTION AND TRANSPORTATION SERVICES NORTHWEST DETENTION CENTER TACOMA,5348089.81,5348089.81,5348089.81,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2021,FACILITIES SUPPORT SERVICES,DETENTION AND TRANSPORTATION SERVICES FOR NORTHWEST DETENTION CENTER,0.0,,748439695.88,,
TEXAS,2021,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2021,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER AWARD: TBD  POP 06 AUG 2021  - 05 AUG 2022. FUNDING THROUGH 30 SEPTEMBER 2021.  COR RANDY LECOMPTE ACOR: MICHAEL SHERDIAN,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
FLORIDA,2021,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2021,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,3840117.44,3840117.44,3840117.44,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",64435652.06,64435652.06,64435652.06,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2021,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",64235652.06,64235652.06,64235652.06,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,109264890.61,109264890.61,109264890.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2021,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER (HOUSTON),36913765.05,36913765.05,36913765.05,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2021,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,3440088.24,3440088.24,3440088.24,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
DISTRICT OF COLUMBIA,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",47774320.41,47774320.41,47774320.41,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2021,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,211183912.14,,
,2021,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",0.0,,360393240.61,,
TEXAS,2021,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER AWARD: TBD  POP 06 AUG 2021  - 05 AUG 2022. FUNDING THROUGH 30 SEPTEMBER 2021.  COR RANDY LECOMPTE ACOR: MICHAEL SHERDIAN,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2021,SECURITY GUARDS AND PATROL SERVICES,INCREASE AVAILABLE FUNDS ON THE SUBJECT TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITY,41141604.39,41141604.39,41141604.39,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
FLORIDA,2021,FACILITIES SUPPORT SERVICES,SERVICES AT BROWARD TRANSITIONAL CENTER,39808835.37,39808835.37,39808835.37,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
